C,"10001",10001
V,1038,1
V,1026,1
V,1034,1
C,"10002",10002
V,1008,1
V,1056,1
V,1032,1
C,"10003",10003
V,1064,1
V,1065,1
V,1020,1
V,1007,1
V,1038,1
V,1026,1
V,1052,1
V,1041,1
V,1028,1
C,"10004",10004
V,1004,1
C,"10005",10005
V,1017,1
V,1156,1
V,1004,1
V,1018,1
V,1008,1
V,1027,1
V,1009,1
V,1046,1
V,1038,1
V,1006,1
V,1026,1
V,1052,1
V,1060,1
V,1001,1
V,1041,1
V,1034,1
C,"10006",10006
V,1034,1
V,1004,1
C,"10007",10007
V,1008,1
V,1000,1
V,1035,1
V,1016,1
V,1031,1
V,1003,1
V,1034,1
V,1018,1
C,"10008",10008
V,1065,1
V,1123,1
V,1009,1
V,1007,1
C,"10009",10009
V,1017,1
V,1043,1
C,"10010",10010
V,1032,1
V,1004,1
C,"10011",10011
V,1036,1
V,1077,1
V,1003,1
V,1001,1
C,"10012",10012
V,1004,1
C,"10013",10013
V,1008,1
V,1130,1
V,1035,1
V,1034,1
V,1018,1
C,"10014",10014
V,1008,1
V,1009,1
V,1001,1
V,1034,1
C,"10015",10015
V,1003,1
V,1004,1
C,"10016",10016
V,1025,1
V,1026,1
C,"10017",10017
V,1004,1
C,"10018",10018
V,1008,1
V,1058,1
V,1017,1
V,1018,1
C,"10019",10019
V,1034,1
C,"10020",10020
V,1008,1
V,1004,1
V,1034,1
C,"10021",10021
V,1207,1
C,"10022",10022
V,1038,1
V,1125,1
V,1026,1
V,1053,1
C,"10023",10023
V,1008,1
V,1073,1
C,"10024",10024
V,1073,1
C,"10025",10025
V,1004,1
C,"10026",10026
V,1009,1
C,"10027",10027
V,1105,1
C,"10028",10028
V,1027,1
V,1123,1
V,1034,1
C,"10029",10029
V,1034,1
C,"10030",10030
V,1008,1
V,1034,1
C,"10031",10031
V,1008,1
C,"10032",10032
V,1008,1
V,1007,1
C,"10033",10033
V,1036,1
V,1008,1
V,1037,1
V,1009,1
C,"10034",10034
V,1040,1
V,1017,1
V,1092,1
V,1050,1
V,1004,1
C,"10035",10035
V,1034,1
C,"10036",10036
V,1004,1
V,1034,1
C,"10037",10037
V,1008,1
V,1016,1
V,1152,1
V,1052,1
V,1040,1
V,1034,1
V,1014,1
C,"10038",10038
V,1045,1
V,1008,1
V,1027,1
V,1026,1
V,1034,1
C,"10039",10039
V,1017,1
V,1003,1
V,1001,1
V,1002,1
V,1004,1
C,"10040",10040
V,1008,1
C,"10041",10041
V,1123,1
V,1004,1
C,"10042",10042
V,1008,1
V,1073,1
C,"10043",10043
V,1008,1
V,1034,1
V,1004,1
C,"10044",10044
V,1001,1
C,"10045",10045
V,1008,1
C,"10046",10046
V,1030,1
V,1037,1
V,1009,1
C,"10047",10047
V,1008,1
V,1035,1
V,1037,1
V,1009,1
V,1070,1
V,1018,1
C,"10048",10048
V,1008,1
V,1010,1
C,"10049",10049
V,1017,1
C,"10050",10050
V,1000,1
V,1004,1
C,"10051",10051
V,1119,1
V,1009,1
C,"10052",10052
V,1008,1
C,"10053",10053
V,1020,1
V,1004,1
V,1195,1
C,"10054",10054
V,1053,1
C,"10055",10055
V,1008,1
V,1034,1
C,"10056",10056
V,1004,1
C,"10057",10057
V,1035,1
V,1001,1
V,1003,1
V,1002,1
V,1004,1
V,1018,1
C,"10058",10058
V,1008,1
V,1000,1
V,1046,1
V,1054,1
V,1049,1
V,1032,1
V,1001,1
V,1003,1
V,1034,1
V,1018,1
C,"10059",10059
V,1008,1
V,1017,1
V,1052,1
V,1060,1
V,1034,1
V,1004,1
C,"10060",10060
V,1008,1
V,1087,1
V,1031,1
V,1034,1
C,"10061",10061
V,1034,1
C,"10062",10062
V,1077,1
V,1001,1
V,1018,1
C,"10063",10063
V,1010,1
V,1001,1
C,"10064",10064
V,1008,1
V,1003,1
